channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,BI,J_final
37,5,1.4,0.004787576,0.0003390329657122493,14.121269226074219,1045.9149429346878,14769.64649675478,0.00018611141716257755,0.7007859945297241
37,7,1.8,0.004544228000000001,0.0002918987884186208,15.56782054901123,1133.570613428467,17647.22388948695,0.00017233221699204475,0.648901641368866
37,15,5.0,0.003915091,0.00014954694779589772,26.179677963256836,1012.6420544004102,26510.642876253547,0.00012944131331248188,0.48739975690841675
37,13,4.0,0.004053878,0.0001774936681613326,22.83956527709961,1033.4035336921645,23602.487465347596,0.0001387607524118232,0.5224912762641907
37,17,6.0,0.0037884570000000003,0.00012976482685189694,29.194791793823242,1017.5911654863252,29708.362207607195,0.00012089683203863664,0.45522627234458923
37,9,2.0,0.00445749,0.0002841128152795136,15.689154624938965,1084.4547012689848,17014.177491951097,0.00017084061728743618,0.6432851552963257
37,19,8.0,0.003516254,9.958658483810723e-05,35.308509826660156,997.8684158383768,35233.24676634313,0.00010954696433758477,0.4124893546104431
37,11,3.0,0.0042018129999999996,0.00021580509201157838,19.470407485961914,1094.541238964715,21311.163932832613,0.00014927147358960883,0.5620684623718262
37,23,20.0,0.0024268420000000002,4.38624010712374e-05,55.328529357910156,1046.3959431648461,57895.54866139428,8.304535057049873e-05,0.3126998841762543
37,21,10.0,0.0032802950000000003,8.009053999558091e-05,40.95733642578125,985.4972809898005,40363.34368419194,0.0001015842811889789,0.3825065791606903
40,17,6.0,0.002232724,0.000146278936881572,15.263469696044922,1902.3119425159243,29035.88068701616,0.00012660135521673518,0.4767061471939087
40,15,5.0,0.0022027260000000003,0.0001543939724797383,14.26691722869873,1993.4357597589642,28440.18298520931,0.00012893346278320636,0.4854874908924103
40,19,8.0,0.0023289879999999997,0.0001242417492903769,18.745615005493164,2580.859534254875,48379.799212398284,7.138797072709601e-05,0.26880505681037903
40,3,1.0,0.015368000000000001,0.002303176326677203,6.6725239753723145,6869.181184523674,45834.77614491061,0.00010389916623925428,0.39122307300567627
40,1,0.6,0.060387586,0.003862038254737854,15.63619613647461,3908.9842422501747,61121.64430621231,5.945167872400491e-05,0.2238600105047226
