channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,BI,J_final
37,9,2.0,0.00445749,0.00028412038227543235,15.688736915588379,1084.4548784264844,17013.72728445949,0.00019317257101647556,0.00014704400705559383,0.5536811351776123
37,15,5.0,0.003915091,0.00014955090591683984,26.178985595703125,1012.6420593497377,26509.94188531993,0.06880287081003189,0.0001146890172326085,0.4318512976169586
37,19,8.0,0.003516254,9.958921145880595e-05,35.307579040527344,997.8683770239749,35232.31659381673,0.48416149616241455,0.00010708086781124285,0.40320348739624023
37,17,6.0,0.0037884570000000003,0.00012976826110389084,29.19401741027832,1017.5912206352514,29707.575811771898,0.23287180066108704,0.00011798670168710318,0.44426843523979187
37,21,10.0,0.0032802950000000003,8.009265002328902e-05,40.95625686645508,985.4971371108438,40362.27388866782,0.8142927885055542,9.88672313901093e-05,0.37227576971054077
37,23,20.0,0.0024268420000000002,4.386356158647686e-05,55.327064514160156,1046.3959584597628,57894.01670105975,1.4883705377578735,7.958480411427566e-05,0.2996695041656494
41,9,2.0,0.0012094060000000001,0.00024228911206591874,4.991581916809082,3532.1280940675465,17630.906722200893,6.769903393433196e-08,0.000144322390440619,0.5434331297874451
41,15,5.0,0.00116883,0.00019650206377264112,5.948181629180908,2237.648274907861,13309.938361375289,1.8551277491951623e-07,0.0001455090502996431,0.5479013919830322
41,11,3.0,0.0011776660000000002,0.0002146540064131841,5.486345291137695,4733.187607328561,25967.901541538347,8.24669882604212e-07,0.0001436985966026338,0.5410842895507812
41,13,4.0,0.001172135,0.00021041659056209028,5.570544719696045,3688.7587087259158,20548.395347125952,2.891417523187556e-07,0.0001450210895604411,0.546064019203186
41,3,1.0,0.00132235,0.0002589037176221609,5.107497215270996,2478.603645066687,12659.461214938645,5.6683891358488836e-08,0.00014346257848086964,0.5401955842971802
41,1,0.6,0.001463017,0.00031252155895344913,4.681331157684326,2083.18055352685,9752.058032307325,7.705135374180827e-08,0.0001434765401162416,0.5402481555938721
41,7,1.8,0.0012247340000000001,0.0002709966793190688,4.519369125366211,3470.204985564845,15683.137270453659,2.8321290201915872e-08,0.00014348768409730948,0.540290117263794
41,5,1.4,0.001257927,0.0002495847875252366,5.040079116821289,2993.115644941501,15085.539656300743,9.878222329007258e-08,0.00014337909359997197,0.5398812294006348
37,27,30.0,0.00192488,3.18187776429113e-05,60.495094299316406,1143.7407058349972,69190.70185345487,2.6831588745117188,7.063731912735237e-05,0.26597854495048523
37,25,26.0,0.002107207,3.526240470819175e-05,59.75789260864258,1100.5610362975585,65767.20821632589,2.183197259902954,7.359511215927697e-05,0.2771158516407013
